sim,prima_total,indemnizacion_total,resultado_total,loss_ratio
119,438187683.3835654,304278568.2917953,133909115.09177011,0.6944023755808001
120,358859206.2331942,183223621.7430394,175635584.49015477,0.5105724433441924
121,447172346.65831363,377551490.8489185,69620855.80939513,0.844308673535681
122,416301209.00853634,274155853.7949213,142145355.21361506,0.6585516637048721
123,381963605.6097332,314384003.17449284,67579602.43524039,0.8230731895847453
124,396464165.1942426,248932680.82491416,147531484.36932844,0.6278819189193372
125,373930784.512304,225795550.18539184,148135234.32691216,0.6038431697456622
126,386509365.7435186,269253697.8677667,117255667.87575191,0.696629167962877
127,402367781.54060394,380190166.83391166,22177614.70669228,0.9448822303272453
128,391106985.29793596,311461103.0618609,79645882.23607504,0.796357811979751
129,401296931.73276776,348620555.21040356,52676376.5223642,0.8687346641428035
130,399920688.60072213,305835760.0813426,94084928.51937956,0.7647410319066708
131,420655501.4762719,321316272.97332585,99339228.50294608,0.76384659619494
132,357516980.01615745,306748797.5517329,50768182.46442455,0.8579978426139924
133,398557173.6601325,299394243.9704958,99162929.6896367,0.7511952205527296
134,315465109.2726798,281638044.85290396,33827064.41977584,0.8927708217946327
135,451935937.6280676,225423827.6543149,226512109.9737527,0.49879597722948354
136,375110018.63776827,440140909.87628096,-65030891.238512695,1.173364847664362
137,432554955.88154745,301471384.1382113,131083571.74333614,0.6969551037134977
138,400896227.1532251,198486841.36642972,202409385.7867954,0.4951077808237062
139,392685681.0493864,196286974.99123028,196398706.0581561,0.4998577347324873
140,426763532.5678949,287126070.7071001,139637461.86079478,0.6727989830326482
141,404842635.8332967,275254125.3977826,129588510.43551409,0.6799039948725283
142,439955859.4006164,315077790.0825483,124878069.31806809,0.7161577311683075
143,365912241.6783977,279154344.55618936,86757897.12220836,0.7628997140837382
144,437115222.9734562,371423528.37139225,65691694.602063954,0.8497153813239465
145,454889805.30687,439775341.24141693,15114464.065453053,0.9667733506244292
146,413946368.8619915,302836906.07326394,111109462.78872758,0.7315848835824161
147,389063271.7166698,228719922.87063426,160343348.84603554,0.587873334487344
148,394060354.1357548,336946688.34115845,57113665.794596374,0.8550636591700352
149,442761590.8767811,303154938.87235385,139606652.00442725,0.6846911410541046
150,382953228.44764584,249848432.26272345,133104796.1849224,0.652425449644383
151,422333400.9820811,307680397.1655577,114653003.81652343,0.7285248963261896
152,439136026.71832436,271880564.9366132,167255461.78171116,0.6191260757364504
153,404935012.4446696,289608348.16373575,115326664.28093386,0.715197103889128
154,439826193.6929821,310069147.6594501,129757046.03353196,0.7049810859511745
155,400256784.7663526,251843296.61245918,148413488.1538934,0.6292043163227605
156,371983530.9796639,221831371.32840332,150152159.65126058,0.5963472918926905
157,380153651.69218343,266816744.85268468,113336906.83949876,0.7018655316475311
158,394888895.0680341,275195600.48418033,119693294.58385378,0.6968937438384226
159,390477670.1043374,380558793.0013058,9918877.103031576,0.9745980939181972
160,414197257.344574,292150567.58481336,122046689.75976062,0.7053416274598143
161,456056466.6853361,355244716.6303366,100811750.05499953,0.7789489736047175
162,434505334.5379466,327949031.6650463,106556302.8729003,0.7547641089695426
163,430168514.40972674,278855370.9167097,151313143.49301702,0.6482468185737686
164,407177517.94088584,285474698.8109849,121702819.12990093,0.701106240478705
165,390338260.8246319,300938071.8196366,89400189.00499535,0.7709673942387104
166,402467697.78543735,304253023.33934873,98214674.44608861,0.7559688020019718
167,403994009.0876517,320505141.61609066,83488867.47156107,0.7933413229069763
168,426357156.54599285,369709119.36613244,56648037.17986041,0.8671347805234986
169,403383451.90195596,225426294.66737813,177957157.23457783,0.5588387267858695
170,406003830.5181506,300348610.2089487,105655220.30920196,0.7397679224494937
171,410108006.24189746,328298273.58144665,81809732.66045082,0.800516616561257
172,395131540.6593389,257850404.2661385,137281136.3932004,0.6525685189187244
173,378149642.5521652,300175736.3782585,77973906.17390668,0.7938014547689272
174,412297703.8612431,479247093.8892433,-66949390.028000176,1.1623811857330442
175,404722176.9364118,385445136.5585373,19277040.377874494,0.9523696958644714
